"Sex" "Canopy" "Shrub" "Effort" "Size" "Length" "Natural" "Forest"
"female" 0.46 0.95 7 29 1.88 "yes" "Chawia"
"male" 0.25 0.57 24 40 1.77 "yes" "Chawia"
"male" 0.7 0.79 15 26 1.52 "no" "Ngangao S"
"female" 0.45 0.26 9 17 2.41 "no" "Chawia"
"male" 0.51 0.94 21 29 1.45 "no" "Chawia"
"female" 0.33 0.85 7 32 1.96 "no" "Ngangao S"
"female" 0.84 0.5 28 19 1.86 "no" "Ngangao N"
"female" 0.21 0.73 18 23 2.31 "no" "Chawia"
"female" 0.73 0.42 20 33 2.11 "yes" "Ngangao S"
"male" 0.3 0.62 25 8 1.71 "yes" "Ngangao N"
"female" 0.27 0.92 20 27 2.04 "no" "Chawia"
"male" 0.94 0.12 14 15 1.62 "no" "Ngangao N"
"male" 0.81 0.43 27 7 1.51 "yes" "Chawia"
"female" 0.76 0.93 14 39 1.99 "no" "Chawia"
"male" 0.79 0.14 26 9 1.6 "yes" "Chawia"
"male" 0.76 0.19 25 13 1.66 "yes" "Ngangao S"
"female" 0.5 0.1 7 9 2.51 "yes" "Chawia"
"female" 0.93 0.56 12 6 2.08 "no" "Chawia"
"female" 0.62 0.24 7 39 2.35 "no" "Ngangao S"
"male" 0.48 0.47 13 10 1.88 "no" "Chawia"
"female" 0.93 0.63 14 33 1.93 "yes" "Ngangao N"
"male" 0.59 0.79 24 32 1.5 "no" "Ngangao S"
"male" 0.56 0.38 29 33 1.73 "yes" "Ngangao N"
"female" 0.92 0.18 16 5 2 "no" "Ngangao N"
"female" 0.59 0.62 24 9 2.01 "yes" "Chawia"
"female" 0.8 0.21 19 38 2.13 "yes" "Ngangao N"
"female" 0.88 0.92 30 20 1.78 "yes" "Chawia"
"male" 0.34 0.77 14 15 1.61 "yes" "Ngangao S"
"male" 0.22 0.63 21 21 1.75 "yes" "Chawia"
"male" 0.24 0.3 28 29 2.07 "yes" "Ngangao N"
"male" 0.62 0.14 25 11 1.75 "no" "Chawia"
"female" 0.82 0.56 10 23 2.06 "yes" "Chawia"
"female" 0.67 0.91 15 10 1.95 "yes" "Ngangao S"
"male" 0.68 0.58 27 40 1.52 "yes" "Chawia"
"female" 0.78 0.53 24 11 1.98 "yes" "Ngangao N"
"male" 0.71 0.45 23 35 1.62 "yes" "Ngangao S"
"female" 0.84 0.86 6 34 2.07 "no" "Ngangao S"
"female" 0.82 0.54 15 32 2.09 "yes" "Ngangao S"
"female" 0.92 0.57 29 30 1.88 "yes" "Ngangao N"
"female" 0.62 0.32 11 23 2.22 "yes" "Chawia"
"female" 0.72 0.38 29 6 2.02 "yes" "Ngangao S"
"male" 0.51 0.71 27 7 1.52 "yes" "Chawia"
"male" 0.21 0.9 23 10 1.4 "no" "Chawia"
"male" 0.82 0.16 13 18 1.73 "yes" "Chawia"
"female" 0.46 0.22 29 19 2.31 "no" "Ngangao S"
"male" 0.28 0.94 17 38 1.5 "no" "Ngangao S"
"male" 0.9 0.51 10 9 1.51 "no" "Ngangao N"
"male" 0.37 0.45 10 14 1.85 "no" "Ngangao S"
"female" 0.45 0.19 27 32 2.37 "no" "Chawia"
"female" 0.56 0.37 14 13 2.2 "no" "Ngangao S"
"female" 0.85 0.61 27 6 1.82 "yes" "Chawia"
"female" 0.34 0.37 15 15 2.45 "no" "Chawia"
"female" 0.6 0.73 7 19 2.09 "no" "Ngangao S"
"male" 0.53 0.95 8 27 1.55 "no" "Ngangao N"
"female" 0.92 0.79 6 39 2.03 "no" "Ngangao N"
"male" 0.49 0.42 27 9 1.72 "no" "Ngangao S"
"female" 0.53 0.29 20 27 2.37 "no" "Ngangao S"
"male" 0.88 0.79 18 17 1.45 "no" "Ngangao S"
"male" 0.33 0.23 30 9 1.86 "yes" "Ngangao N"
"male" 0.79 0.82 6 35 1.61 "no" "Ngangao S"
"female" 0.26 0.53 7 18 2.28 "no" "Ngangao S"
"female" 0.87 0.28 8 28 2.1 "no" "Ngangao S"
"female" 0.37 0.52 10 29 2.18 "no" "Chawia"
"female" 0.76 0.42 25 25 2.08 "no" "Ngangao N"
"female" 0.6 0.74 12 10 2.12 "no" "Ngangao N"
"female" 0.86 0.19 14 23 2.1 "yes" "Ngangao S"
"male" 0.81 0.74 11 10 1.55 "no" "Chawia"
"female" 0.34 0.12 13 5 2.66 "yes" "Ngangao N"
"male" 0.63 0.42 22 26 1.71 "yes" "Ngangao N"
"female" 0.73 0.63 19 22 1.98 "no" "Ngangao S"
"male" 0.9 0.61 20 10 1.48 "no" "Ngangao S"
"male" 0.89 0.39 24 12 1.51 "yes" "Ngangao S"
"female" 0.39 0.77 20 31 1.93 "no" "Ngangao S"
"female" 0.88 0.2 26 37 2.06 "yes" "Chawia"
"female" 0.87 0.95 7 15 2.02 "yes" "Chawia"
"female" 0.49 0.59 8 8 2.16 "no" "Ngangao N"
"female" 0.26 0.79 7 36 2.16 "yes" "Ngangao N"
"male" 0.64 0.36 13 12 1.71 "no" "Chawia"
"male" 0.2 0.69 23 22 1.63 "yes" "Ngangao S"
"male" 0.78 0.53 27 17 1.49 "no" "Ngangao S"
"female" 0.29 0.87 18 7 1.97 "yes" "Ngangao S"
"female" 0.92 0.52 27 24 1.93 "yes" "Chawia"
"female" 0.92 0.95 16 22 1.94 "yes" "Chawia"
"male" 0.88 0.6 7 28 1.66 "no" "Ngangao N"
"male" 0.23 0.71 22 25 1.68 "no" "Chawia"
"female" 0.95 0.13 21 35 2.05 "yes" "Ngangao S"
"male" 0.76 0.61 9 31 1.6 "yes" "Chawia"
"female" 0.5 0.3 27 6 2.27 "yes" "Ngangao N"
"male" 0.56 0.36 7 34 1.91 "yes" "Chawia"
"male" 0.63 0.37 11 16 1.73 "yes" "Ngangao N"
"male" 0.72 0.74 24 15 1.45 "no" "Ngangao N"
"female" 0.42 0.86 20 18 1.97 "yes" "Ngangao N"
"female" 0.45 0.15 14 20 2.5 "no" "Ngangao S"
"female" 0.66 0.16 6 18 2.42 "no" "Ngangao S"
"male" 0.47 0.75 21 25 1.55 "no" "Ngangao N"
"female" 0.41 0.78 24 29 1.89 "yes" "Ngangao N"
"female" 0.67 0.95 5 29 2 "yes" "Chawia"
"female" 0.64 0.4 17 5 2.19 "yes" "Ngangao S"
"male" 0.88 0.72 5 31 1.62 "no" "Chawia"
"female" 0.86 0.44 8 40 2.07 "yes" "Chawia"
"male" 0.3 0.2 21 30 2.01 "no" "Ngangao S"
"male" 0.49 0.72 10 33 1.68 "yes" "Ngangao S"
"female" 0.66 0.51 17 12 1.97 "yes" "Chawia"
"female" 0.33 0.68 27 12 2.11 "yes" "Ngangao S"
"male" 0.79 0.31 12 34 1.66 "yes" "Ngangao N"
"female" 0.82 0.69 10 10 2.08 "yes" "Chawia"
"female" 0.44 0.18 18 15 2.63 "yes" "Ngangao S"
"male" 0.84 0.46 26 22 1.48 "no" "Ngangao S"
"male" 0.34 0.6 13 25 1.77 "yes" "Ngangao N"
"male" 0.45 0.57 9 18 1.78 "no" "Ngangao N"
"male" 0.49 0.19 7 10 2.03 "no" "Chawia"
"female" 0.21 0.54 27 12 2.31 "yes" "Ngangao N"
"female" 0.41 0.88 12 22 1.99 "no" "Ngangao S"
"female" 0.89 0.3 22 29 1.97 "no" "Ngangao N"
"female" 0.49 0.18 22 20 2.23 "no" "Chawia"
"male" 0.85 0.87 6 26 1.54 "yes" "Ngangao S"
"female" 0.57 0.29 20 13 2.24 "no" "Chawia"
"male" 0.75 0.5 21 35 1.59 "yes" "Ngangao S"
"female" 0.43 0.77 30 32 2 "yes" "Ngangao S"
"female" 0.95 0.47 25 10 1.89 "yes" "Ngangao S"
"female" 0.94 0.44 12 14 1.99 "yes" "Ngangao S"
"female" 0.8 0.28 19 20 2 "yes" "Chawia"
"male" 0.34 0.2 23 20 1.99 "yes" "Ngangao N"
